Idc, Category, Opportunity, Task, Contacted_Date, Activity, Complaints, Status,Number,Complaint_Status,Id,Idfc
"5","","","geo2","2022-06-08 19:22:48","last activity","very poor connection","In Progress","304","1","6","1"
"6","","","geo2","2022-06-08 19:24:09","buy panasonic pbx","very bad support","In Progress","306","1","5","2"
"7","","","geo3","2022-06-09 13:52:14","","i called twice no reply ","In Progress","70556648","1","7","1"
"8","","","","2022-06-10 22:47:09","","very bad reply","Resolved","03205818","1","2","1"
"9","","","geo3","2022-06-11 08:16:42","nothing","very good start","In Progress","03205818","1","2","1"
"10","","","","2022-06-11 15:31:58","","very poor connection","Resolved","03660256","1","9","1"
"11","","","geo2","2022-06-11 15:47:27","","bad request","Not Resolved","03205818","1","2","1"
"12","","","","2022-06-11 16:26:45","","very bad request","Resolved","09220492","1","10","1"
"13","","","geo2","2022-06-12 07:12:55","nothing really important","very bad connection","In Progress","03213814","1","11","1"
"14","","","","2022-06-12 08:00:12","","bad request","Not Resolved","70155361","1","12","1"
"15","","","geo2","2022-06-12 08:01:10","buy food from the superstore","always complaining","In Progress","70155361","1","12","2"
"16","Lead","Quote","wal1","2022-06-22 17:18:57","nothing important","very poor manifestation","In Progress","305","1","14","1"
"17","","","wal1","2022-06-22 17:22:59","","when i find my self in trouble ","Resolved","304","1","6","1"
"18","","","geo1","2022-06-22 20:25:56","buy food for dog","the guy answered and shouted on me","Not Resolved","304","1","6","2"
"19","","","geo2","2022-06-22 21:29:19","","never answer","Resolved","305","1","14","2"
"20","","","","2022-06-22 21:29:52","","bad request of all time","Resolved","304","1","6","1"
"21","","","","2022-06-23 23:02:43","","she is palying with love","In Progress","03205818","1","2","1"
"22","","","geo2","2022-06-23 23:30:10","","bad request","Resolved","304","1","6","1"
"23","","","geo2","2022-06-23 23:47:40","","answering issues","Resolved","306","1","5","1"
"24","","","geo3","2022-06-23 23:50:00","","plu issues","In Progress","306","1","5","1"
"25","","","geo4","2022-06-24 12:53:28","","very bad connection","In Progress","306","1","5","1"
"26","","","","2022-06-24 13:07:08","","bad connection ","Resolved","306","1","5","1"
"27","","","geo5","2022-06-24 13:18:26","","ifive times i called no one answered","In Progress","304","1","6","1"
"28","","","geo5","2022-06-25 09:36:16","no last activity","no complaints","In Progress","307","1","15","1"
"29","","","geo1","2022-06-25 09:36:56","no last activity","no complaints","Resolved","306","1","5","1"
"30","","","geo2","2022-06-25 09:37:58","No last activity","complaint","In Progress","307","1","15","2"
"31","","","geo3","2022-06-25 10:01:03","no last activity","no complaints","Resolved","306","1","5","2"
"32","","","geo4","2022-06-25 11:07:32","no last activity","no complaints","In Progress","304","1","6","2"
"33","","","geo3","2022-06-25 11:55:58","no last activity ","no complaints","Resolved","308","1","16","2"
"34","","","geo4","2022-06-26 22:23:30","","no complaints","Resolved","308","1","16","1"
"35","","","geo5","2022-06-26 22:30:10","","too late","Resolved","309","1","17","1"
"36","","","geo5","2022-07-04 18:12:22","","credit issues","Resolved","310","1","18","1"
"37","","","geo6","2022-07-04 18:40:45","bought chimney","pricing issues","In Progress","310","1","18","2"
"38","","","geo2","2022-07-04 18:41:27","","bad service ","Resolved","304","1","6","2"
"39","","","","2022-07-04 21:11:05","","damaged items","Resolved","311","1","19","2"
